player_name,hometown,school_name,position,conference
Mekale McKay,"LOUISVILLE, KY",Cincinnati,WR,American Athletic
Bennie Coney,"PLANT CITY, FL",Cincinnati,QB,American Athletic
Johnny Holton,"MIAMI, FL",Cincinnati,WR,American Athletic
Munchie Legaux,"NEW ORLEANS, LA",Cincinnati,QB,American Athletic
Mark Barr,"FORT LAUDERDALE, FL",Cincinnati,WR,American Athletic
Anthony McClung,"INDIANAPOLIS, IN",Cincinnati,WR,American Athletic
Gunner Kiel,"COLUMBUS, IN",Cincinnati,QB,American Athletic
Brendon Kay,"MARINE CITY, MI",Cincinnati,QB,American Athletic
Chris Moore,"TAMPA, FL",Cincinnati,WR,American Athletic
Michael Colosimo,"FORT MITCHELL, KY",Cincinnati,QB,American Athletic
Jeremy Graves,"CLEVELAND, OH",Cincinnati,WR,American Athletic
Shaq Washington,"MAPLE HEIGHTS, OH",Cincinnati,WR,American Athletic
Tshumbi Johnson,"IMMOKALEE, FL",Cincinnati,WR,American Athletic
Chris Burrell,"WESTWOOD, NJ",Cincinnati,WR,American Athletic
Tim Helton,"CLEVELAND, OH",Cincinnati,WR,American Athletic
Alex Chisum,"FAYETTEVILLE, GA",Cincinnati,WR,American Athletic
Max Morrison,"KENTON, OH",Cincinnati,WR,American Athletic
Nate Cole,"MEMPHIS, TN",Cincinnati,WR,American Athletic
Jacob Giltrow,"WEST CHESTER, OH",Cincinnati,WR,American Athletic
Javon Harrison,"DAYTON, OH",Cincinnati,WR,American Athletic
Shakim Alonzo,"PITTSBURGH, PA",Cincinnati,WR,American Athletic
Dhameer Bradley,"NEW CASTLE, DE",Connecticut,WR,American Athletic
Kivon Taylor,"ATLANTA, GA",Connecticut,QB,American Athletic
Deshon Foxx,"LYNCHBURG, VA",Connecticut,WR,American Athletic
Chris DeBerry,"TORRINGTON, CT",Connecticut,QB,American Athletic
John Green,"MIAMI, FL",Connecticut,WR,American Athletic
Shakim Phillips,"PATERSON, NJ",Connecticut,WR,American Athletic
Kamal Abrams,"DOVER, DE",Connecticut,WR,American Athletic
Chandler Whitmer,"NEWNAN, GA",Connecticut,QB,American Athletic
Scott McCummings,"NATICK, MA",Connecticut,QB,American Athletic
Casey Cochran,"MONROE, CT",Connecticut,QB,American Athletic
Tony Tully,--,Connecticut,WR,American Athletic
Tim Boyle,"MIDDLEFIELD, CT",Connecticut,QB,American Athletic
Michael Ecke,"CHESHIRE, CT",Connecticut,QB,American Athletic
Noel Thomas,"NORWALK, CT",Connecticut,WR,American Athletic
Jonathan Hryniewicz,--,Connecticut,WR,American Athletic
John-Luke Bogue,--,Connecticut,WR,American Athletic
Frank Guardi,"NEW FAIRFIELD, CT",Connecticut,WR,American Athletic
Brian Lemelle,"HARRISBURG, PA",Connecticut,WR,American Athletic
Geremy Davis,"LAWRENCEVILLE, GA",Connecticut,WR,American Athletic
Thomas Lucas,"SILVER SPRING, MD",Connecticut,WR,American Athletic
Nick Vitale,"MADISON, CT",Connecticut,WR,American Athletic
Greg Ward Jr.,"TYLER, TX",Houston,QB,American Athletic
Donald Gage,"ZACHARY, LA",Houston,WR,American Athletic
Deontay Greenberry,"FRESNO, CA",Houston,WR,American Athletic
Daniel Spencer,"GRANDVIEW, TX",Houston,WR,American Athletic
John O'Korn,"FORT LAUDERDALE, FL",Houston,QB,American Athletic
Larry McDuffey,"GALENA PARK, TX",Houston,WR,American Athletic
David Piland,"SOUTHLAKE, TX",Houston,QB,American Athletic
Billy Cosh,"ANNAPOLIS, MD",Houston,QB,American Athletic
Demarcus Ayers,"LANCASTER, TX",Houston,WR,American Athletic
D'Juan Hines,"SPRING, TX",Houston,WR,American Athletic
Kyle Postma,"KATY, TX",Houston,QB,American Athletic
Aaron Johnson,"LONGVIEW, TX",Houston,WR,American Athletic
Casey Martin,"HUFFMAN, TX",Houston,WR,American Athletic
Shane Ros,"KATY, TX",Houston,WR,American Athletic
Markeith Ambles,"MCDONOUGH, GA",Houston,WR,American Athletic
Casey Williams,"HOUSTON, TX",Houston,WR,American Athletic
Greyson Hughes,"HOUSTON, TX",Houston,WR,American Athletic
Hayden Daniels,"NAPERVILLE, IL",Houston,WR,American Athletic
Damian Payne,"HOUSTON, TX",Houston,WR,American Athletic
